refdes	device	value	spec	footprint	description	
X4/X1/R16	RESISTOR	4.99k	1% 1/10W	0603	Resistor	
X4/X1/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X1/R2	RESISTOR	301k	1% 1/10W	0603	Resistor	
X4/X1/C6	CAPACITOR	680pF	50WVDC NP0	0603	Ceramic capacitor	
X4/X1/R6	RESISTOR	4.99k	1% 1/10W	0603	Resistor	
X4/X1/Q1	LM195H	unknown	unknown	TO39	unknown	
X4/X1/R17	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X1/R7	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X1/C5	CAPACITOR	680pF	50WVDC NP0	0603	Ceramic capacitor	
X4/X1/U2	DUAL_OPAMP	LM6142AIM	N/A	SO8	generic dual operational amplifier, SO8	
X4/X1/C4	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X1/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X1/R15	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X1/R5	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X1/R11	RESISTOR	60.4k	1% 1/10W	0603	Resistor	
X4/X1/R13	RESISTOR	75k	1% 1/10W	0603	Resistor	
X4/X1/R14	RESISTOR	301k	1% 1/10W	0603	Resistor	
X4/X1/R1	RESISTOR	54.9k	1% 1/10W	0603	Resistor	
X4/X1/R3	RESISTOR	54.9k	1% 1/10W	0603	Resistor	
X4/X1/R4	RESISTOR	301k	1% 1/10W	0603	Resistor	
X4/X2/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X2/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X2/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X2/C7	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X2/C4	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X2/C6	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X2/C5	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X2/R2	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/R1	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/R7	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X2/Q1	PMOS_TRANSISTOR	IRFR9120N	unknown	TO252AA	generic P channel MOS transistor (enhancement type)	
X4/X2/X2/Q2	NMOS_TRANSISTOR	IRFR220N	unknown	TO252AA	generic N channel MOS transistor (enhancement type)	
X4/X2/X2/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X2/R5	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X2/R4	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X2/R3	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X2/R7	RESISTOR	200	1% 1/10W	0603	Resistor	
X4/X2/X2/Q4	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X2/X2/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X2/X2/R2	RESISTOR	1	1% 1W	2512	Resistor	
X4/X2/X2/R1	RESISTOR	1	1% 1W	2512	Resistor	
X4/X2/X1/Q1	PMOS_TRANSISTOR	IRFR9120N	unknown	TO252AA	generic P channel MOS transistor (enhancement type)	
X4/X2/X1/Q2	NMOS_TRANSISTOR	IRFR220N	unknown	TO252AA	generic N channel MOS transistor (enhancement type)	
X4/X2/X1/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X1/R5	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X1/R4	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X1/R3	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X2/X1/R7	RESISTOR	200	1% 1/10W	0603	Resistor	
X4/X2/X1/Q4	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X2/X1/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X2/X1/R2	RESISTOR	1	1% 1W	2512	Resistor	
X4/X2/X1/R1	RESISTOR	1	1% 1W	2512	Resistor	
X4/X2/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X2/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X2/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X2/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/X3/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X3/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X3/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X3/C7	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X3/C4	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X3/C6	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X3/C5	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X3/R2	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/R1	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/R7	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X2/Q1	PMOS_TRANSISTOR	IRFR9120N	unknown	TO252AA	generic P channel MOS transistor (enhancement type)	
X4/X3/X2/Q2	NMOS_TRANSISTOR	IRFR220N	unknown	TO252AA	generic N channel MOS transistor (enhancement type)	
X4/X3/X2/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X2/R5	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X2/R4	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X2/R3	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X2/R7	RESISTOR	200	1% 1/10W	0603	Resistor	
X4/X3/X2/Q4	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X3/X2/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X3/X2/R2	RESISTOR	1	1% 1W	2512	Resistor	
X4/X3/X2/R1	RESISTOR	1	1% 1W	2512	Resistor	
X4/X3/X1/Q1	PMOS_TRANSISTOR	IRFR9120N	unknown	TO252AA	generic P channel MOS transistor (enhancement type)	
X4/X3/X1/Q2	NMOS_TRANSISTOR	IRFR220N	unknown	TO252AA	generic N channel MOS transistor (enhancement type)	
X4/X3/X1/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X1/R5	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X1/R4	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X1/R3	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X3/X1/R7	RESISTOR	200	1% 1/10W	0603	Resistor	
X4/X3/X1/Q4	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X3/X1/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X3/X1/R2	RESISTOR	1	1% 1W	2512	Resistor	
X4/X3/X1/R1	RESISTOR	1	1% 1W	2512	Resistor	
X4/X3/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X3/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X3/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X3/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/X4/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X4/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X4/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X4/C7	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X4/C4	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X4/C6	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X4/C5	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X4/R2	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/R1	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/R7	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X2/Q1	PMOS_TRANSISTOR	IRFR9120N	unknown	TO252AA	generic P channel MOS transistor (enhancement type)	
X4/X4/X2/Q2	NMOS_TRANSISTOR	IRFR220N	unknown	TO252AA	generic N channel MOS transistor (enhancement type)	
X4/X4/X2/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X2/R5	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X2/R4	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X2/R3	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X2/R7	RESISTOR	200	1% 1/10W	0603	Resistor	
X4/X4/X2/Q4	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X4/X2/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X4/X2/R2	RESISTOR	1	1% 1W	2512	Resistor	
X4/X4/X2/R1	RESISTOR	1	1% 1W	2512	Resistor	
X4/X4/X1/Q1	PMOS_TRANSISTOR	IRFR9120N	unknown	TO252AA	generic P channel MOS transistor (enhancement type)	
X4/X4/X1/Q2	NMOS_TRANSISTOR	IRFR220N	unknown	TO252AA	generic N channel MOS transistor (enhancement type)	
X4/X4/X1/R6	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X1/R5	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X1/R4	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X1/R3	RESISTOR	3.74k	1% 1/10W	0603	Resistor	
X4/X4/X1/R7	RESISTOR	200	1% 1/10W	0603	Resistor	
X4/X4/X1/Q4	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X4/X1/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X4/X1/R2	RESISTOR	1	1% 1W	2512	Resistor	
X4/X4/X1/R1	RESISTOR	1	1% 1W	2512	Resistor	
X4/X4/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X4/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X4/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X4/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/X10/C12	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X10/C11	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X10/R24	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X10/R23	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X10/C5	CAPACITOR	4.7uF	10WVDC X7R	1812	Ceramic capacitor	
X4/X10/R22	RESISTOR	604k	1% 1/10W	0603	Resistor	
X4/X10/R21	RESISTOR	604k	1% 1/10W	0603	Resistor	
X4/X10/C10	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X10/C9	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X10/C4	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X10/R20	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X10/C8	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X10/R18	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X10/Q6	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X10/R19	RESISTOR	16.9	1% 1/10W	0603	Resistor	
X4/X10/Q5	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X10/R16	RESISTOR	20k	1% 1/10W	0603	Resistor	
X4/X10/R17	RESISTOR	499	1% 1/10W	0603	Resistor	
X4/X10/Q4	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X10/C7	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X10/R13	RESISTOR	1k	1% 1/10W	0603	Resistor	
X4/X10/R14	RESISTOR	32.4k	1% 1/10W	0603	Resistor	
X4/X10/C6	CAPACITOR	4.7pF	100WVDC NP0	0603	Ceramic capacitor	
X4/X10/R15	RESISTOR	301k	1% 1/10W	0603	Resistor	
X4/X10/R11	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X10/C1	CAPACITOR	4.7pF	100WVDC NP0	0603	Ceramic capacitor	
X4/X10/Q1	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X10/R7	RESISTOR	499	1% 1/10W	0603	Resistor	
X4/X10/R10	RESISTOR	49.9	1% 1/10W	0603	Resistor	
X4/X10/U1	DUAL_OPAMP	LM6142AIM	N/A	SO8	generic dual operational amplifier, SO8	
X4/X10/R8	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X10/R2	RESISTOR	26.7k	1% 1/10W	0603	Resistor	
X4/X10/R1	RESISTOR	34.0k	1% 1/10W	0603	Resistor	
X4/X10/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X10/R3	RESISTOR	1k	1% 1/10W	0603	Resistor	
X4/X10/R4	RESISTOR	32.4k	1% 1/10W	0603	Resistor	
X4/X10/R5	RESISTOR	301k	1% 1/10W	0603	Resistor	
X4/X10/R6	RESISTOR	20k	1% 1/10W	0603	Resistor	
X4/X10/C3	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X10/R9	RESISTOR	16.9	1% 1/10W	0603	Resistor	
X4/X10/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X10/Q2	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X9/R9	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X9/R8	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X9/R7	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X9/R6	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X9/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X9/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X9/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X9/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X9/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X9/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X9/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/X8/R9	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X8/R8	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X8/R7	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X8/R6	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X8/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X8/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X8/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X8/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X8/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X8/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X8/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/X7/R9	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X7/R8	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X7/R7	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X7/R6	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X7/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X7/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X7/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X7/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X7/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X7/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X7/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/X6/R9	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X6/R8	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X6/R7	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X6/R6	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X6/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X6/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X6/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X6/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X6/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X6/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X6/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/X5/C12	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X5/C11	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X5/R24	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X5/R23	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X5/C5	CAPACITOR	4.7uF	10WVDC X7R	1812	Ceramic capacitor	
X4/X5/R22	RESISTOR	604k	1% 1/10W	0603	Resistor	
X4/X5/R21	RESISTOR	604k	1% 1/10W	0603	Resistor	
X4/X5/C10	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X5/C9	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X5/C4	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X5/R20	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X5/C8	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X5/R18	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X5/Q6	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X5/R19	RESISTOR	16.9	1% 1/10W	0603	Resistor	
X4/X5/Q5	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X5/R16	RESISTOR	20k	1% 1/10W	0603	Resistor	
X4/X5/R17	RESISTOR	499	1% 1/10W	0603	Resistor	
X4/X5/Q4	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X5/C7	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X5/R13	RESISTOR	1k	1% 1/10W	0603	Resistor	
X4/X5/R14	RESISTOR	32.4k	1% 1/10W	0603	Resistor	
X4/X5/C6	CAPACITOR	4.7pF	100WVDC NP0	0603	Ceramic capacitor	
X4/X5/R15	RESISTOR	301k	1% 1/10W	0603	Resistor	
X4/X5/R11	RESISTOR	10	1% 1/10W	0603	Resistor	
X4/X5/C1	CAPACITOR	4.7pF	100WVDC NP0	0603	Ceramic capacitor	
X4/X5/Q1	NPN_TRANSISTOR	MMBT2222A	unknown	UB	unknown	
X4/X5/R7	RESISTOR	499	1% 1/10W	0603	Resistor	
X4/X5/R10	RESISTOR	49.9	1% 1/10W	0603	Resistor	
X4/X5/U1	DUAL_OPAMP	LM6142AIM	N/A	SO8	generic dual operational amplifier, SO8	
X4/X5/R8	RESISTOR	10k	1% 1/10W	0603	Resistor	
X4/X5/R2	RESISTOR	26.7k	1% 1/10W	0603	Resistor	
X4/X5/R1	RESISTOR	34.0k	1% 1/10W	0603	Resistor	
X4/X5/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X5/R3	RESISTOR	1k	1% 1/10W	0603	Resistor	
X4/X5/R4	RESISTOR	32.4k	1% 1/10W	0603	Resistor	
X4/X5/R5	RESISTOR	301k	1% 1/10W	0603	Resistor	
X4/X5/R6	RESISTOR	20k	1% 1/10W	0603	Resistor	
X4/X5/C3	CAPACITOR	1uF	25WVDC X7R	1812	Ceramic capacitor	
X4/X5/R9	RESISTOR	16.9	1% 1/10W	0603	Resistor	
X4/X5/Q3	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X5/Q2	PNP_TRANSISTOR	MMBT2907A	unknown	UB	unknown	
X4/X11/R9	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X11/R8	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X11/R7	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X11/R6	RESISTOR	75	1% 1/10W	0603	Resistor	
X4/X11/R3	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X11/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X11/R4	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X11/C2	CAPACITOR	0.1uF	16WVDC X7R	0603	Ceramic capacitor	
X4/X11/R5	RESISTOR	100	1% 1/10W	0603	Resistor	
X4/X11/C1	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/X11/U1	DG403	unknown	unknown	SO16	Dual SPDT switch	
X4/R9	RESISTOR	604k	1%	0603	Resistor	
X4/R1	RESISTOR	56.2k	1%	0603	Resistor	
X4/R2	RESISTOR	200k	1%	0603	Resistor	
X4/C4	CAPACITOR	10pF	100WVDC NP0	0603	Ceramic capacitor	
X4/R8	RESISTOR	21.5	1% 1/10W	0603	Resistor	
X4/C5	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/R6	RESISTOR	49.9	1% 1/10W	0603	Resistor	
X4/C3	CAPACITOR	22nF	50WVDC X7R	0603	Ceramic capacitor	
X4/U1	DUAL_OPAMP	LM6142AIM	N/A	SO8	generic dual operational amplifier, SO8	
